title,Adventure,Animation,Science Fiction,TV Movie,Fantasy,Mystery,Crime,Western,Documentary,History,Thriller,Drama,Romance,Music,War,Horror,Family,Foreign,Comedy,Action
Avatar,4.238185598447991,0.0,4.238185598447991,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Pirates of the Caribbean: At World's End,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Spectre,4.893835192279086,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
The Dark Knight Rises,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
John Carter,4.893835192279086,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Spider-Man 3,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Tangled,0.0,5.993699553179481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481,0.0,0.0,0.0
Avengers: Age of Ultron,4.893835192279086,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Harry Potter and the Half-Blood Prince,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0
Batman v Superman: Dawn of Justice,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Superman Returns,4.238185598447991,0.0,4.238185598447991,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Quantum of Solace,4.238185598447991,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Pirates of the Caribbean: Dead Man's Chest,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
The Lone Ranger,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
Man of Steel,4.238185598447991,0.0,4.238185598447991,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
The Chronicles of Narnia: Prince Caspian,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0
The Avengers,4.893835192279086,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
